toponym,date,category_id,area_percentage,category,color
Banikoara,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_12_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_01_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_02_01,n001,1.49253731343284,G Extremey Dry,#C00000FF
Tansarga,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_02_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_03_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_04_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_05_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_06_01,n001,3.73831775700935,G Extremey Dry,#C00000FF
Péhunco,1982_06_01,n001,4.28571428571429,G Extremey Dry,#C00000FF
Kérou,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_06_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_07_01,n001,0.934579439252336,G Extremey Dry,#C00000FF
Péhunco,1982_07_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1982_07_01,n001,5.51181102362205,G Extremey Dry,#C00000FF
Banikoara,1982_07_01,n001,0.684931506849315,G Extremey Dry,#C00000FF
Diapaga,1982_07_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_07_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_07_01,n001,1.63934426229508,G Extremey Dry,#C00000FF
Parc W,1982_07_01,n001,8.33333333333333,G Extremey Dry,#C00000FF
Tamou,1982_07_01,n001,5.05050505050505,G Extremey Dry,#C00000FF
Kirtachi,1982_07_01,n001,54.0540540540541,G Extremey Dry,#C00000FF
Falmey,1982_07_01,n001,82.5,G Extremey Dry,#C00000FF
Karimama,1982_07_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_08_01,n001,2.80373831775701,G Extremey Dry,#C00000FF
Péhunco,1982_08_01,n001,1.42857142857143,G Extremey Dry,#C00000FF
Kérou,1982_08_01,n001,3.1496062992126,G Extremey Dry,#C00000FF
Banikoara,1982_08_01,n001,0.684931506849315,G Extremey Dry,#C00000FF
Diapaga,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_08_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_09_01,n001,35.7142857142857,G Extremey Dry,#C00000FF
Kérou,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_09_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_10_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1982_11_01,n001,1.86915887850467,G Extremey Dry,#C00000FF
Péhunco,1982_11_01,n001,10,G Extremey Dry,#C00000FF
Kérou,1982_11_01,n001,3.93700787401575,G Extremey Dry,#C00000FF
Banikoara,1982_11_01,n001,61.6438356164384,G Extremey Dry,#C00000FF
Diapaga,1982_11_01,n001,46.2686567164179,G Extremey Dry,#C00000FF
Tansarga,1982_11_01,n001,29.4117647058824,G Extremey Dry,#C00000FF
Bottou,1982_11_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1982_11_01,n001,40.2777777777778,G Extremey Dry,#C00000FF
Tamou,1982_11_01,n001,7.07070707070707,G Extremey Dry,#C00000FF
Kirtachi,1982_11_01,n001,21.6216216216216,G Extremey Dry,#C00000FF
Falmey,1982_11_01,n001,95,G Extremey Dry,#C00000FF
Karimama,1982_11_01,n001,25,G Extremey Dry,#C00000FF
Kouandé,1982_12_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1982_12_01,n001,31.4285714285714,G Extremey Dry,#C00000FF
Kérou,1982_12_01,n001,14.9606299212598,G Extremey Dry,#C00000FF
Banikoara,1982_12_01,n001,28.7671232876712,G Extremey Dry,#C00000FF
Diapaga,1982_12_01,n001,1.49253731343284,G Extremey Dry,#C00000FF
Tansarga,1982_12_01,n001,5.88235294117647,G Extremey Dry,#C00000FF
Bottou,1982_12_01,n001,1.63934426229508,G Extremey Dry,#C00000FF
Parc W,1982_12_01,n001,9.72222222222222,G Extremey Dry,#C00000FF
Tamou,1982_12_01,n001,1.01010101010101,G Extremey Dry,#C00000FF
Kirtachi,1982_12_01,n001,5.40540540540541,G Extremey Dry,#C00000FF
Falmey,1982_12_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1982_12_01,n001,6.63265306122449,G Extremey Dry,#C00000FF
Kouandé,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1983_01_01,n001,2.36220472440945,G Extremey Dry,#C00000FF
Banikoara,1983_01_01,n001,41.7808219178082,G Extremey Dry,#C00000FF
Diapaga,1983_01_01,n001,17.1641791044776,G Extremey Dry,#C00000FF
Tansarga,1983_01_01,n001,35.2941176470588,G Extremey Dry,#C00000FF
Bottou,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1983_01_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1983_02_01,n001,2.73972602739726,G Extremey Dry,#C00000FF
Diapaga,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1983_02_01,n001,14.1414141414141,G Extremey Dry,#C00000FF
Kirtachi,1983_02_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1983_02_01,n001,0,G Extremey Dry,#C00000FF
