name,spi_cat,time,value,month
Banikoara,004 D Normal,1983-12-01,0,dic
Banikoara,003 C Moderately Wet,1983-12-01,0,dic
Banikoara,002 B Severely Wet,1983-12-01,0,dic
Banikoara,001 A Extremely Wet,1983-12-01,0,dic
Banikoara,007 G Extremey Dry,1984-01-01,50,gen
Banikoara,006 F Severely Dry,1984-01-01,8.9041095890411,gen
Banikoara,005 E Moderately Dry,1984-01-01,10.2739726027397,gen
Banikoara,004 D Normal,1984-01-01,30.8219178082192,gen
Banikoara,003 C Moderately Wet,1984-01-01,0,gen
Banikoara,002 B Severely Wet,1984-01-01,0,gen
Banikoara,001 A Extremely Wet,1984-01-01,0,gen
Banikoara,007 G Extremey Dry,1984-02-01,0,feb
Banikoara,006 F Severely Dry,1984-02-01,0,feb
Banikoara,005 E Moderately Dry,1984-02-01,42.4657534246575,feb
Banikoara,004 D Normal,1984-02-01,57.5342465753425,feb
Banikoara,003 C Moderately Wet,1984-02-01,0,feb
Banikoara,002 B Severely Wet,1984-02-01,0,feb
Banikoara,001 A Extremely Wet,1984-02-01,0,feb
Banikoara,007 G Extremey Dry,1984-03-01,0,mar
Banikoara,006 F Severely Dry,1984-03-01,0,mar
Banikoara,005 E Moderately Dry,1984-03-01,0,mar
Banikoara,004 D Normal,1984-03-01,100,mar
Banikoara,003 C Moderately Wet,1984-03-01,0,mar
Banikoara,002 B Severely Wet,1984-03-01,0,mar
Banikoara,001 A Extremely Wet,1984-03-01,0,mar
Banikoara,007 G Extremey Dry,1984-04-01,0,apr
Banikoara,006 F Severely Dry,1984-04-01,0,apr
Banikoara,005 E Moderately Dry,1984-04-01,0,apr
Banikoara,004 D Normal,1984-04-01,100,apr
Banikoara,003 C Moderately Wet,1984-04-01,0,apr
Banikoara,002 B Severely Wet,1984-04-01,0,apr
Banikoara,001 A Extremely Wet,1984-04-01,0,apr
Banikoara,007 G Extremey Dry,1984-05-01,0,mag
Banikoara,006 F Severely Dry,1984-05-01,0,mag
Banikoara,005 E Moderately Dry,1984-05-01,0.684931506849315,mag
Banikoara,004 D Normal,1984-05-01,99.3150684931507,mag
Banikoara,003 C Moderately Wet,1984-05-01,0,mag
Banikoara,002 B Severely Wet,1984-05-01,0,mag
Banikoara,001 A Extremely Wet,1984-05-01,0,mag
Banikoara,007 G Extremey Dry,1984-06-01,17.8082191780822,giu
Banikoara,006 F Severely Dry,1984-06-01,41.7808219178082,giu
Banikoara,005 E Moderately Dry,1984-06-01,35.6164383561644,giu
Banikoara,004 D Normal,1984-06-01,4.79452054794521,giu
Banikoara,003 C Moderately Wet,1984-06-01,0,giu
Banikoara,002 B Severely Wet,1984-06-01,0,giu
Banikoara,001 A Extremely Wet,1984-06-01,0,giu
Banikoara,007 G Extremey Dry,1984-07-01,86.986301369863,lug
Banikoara,006 F Severely Dry,1984-07-01,13.013698630137,lug
Banikoara,005 E Moderately Dry,1984-07-01,0,lug
Banikoara,004 D Normal,1984-07-01,0,lug
Banikoara,003 C Moderately Wet,1984-07-01,0,lug
Banikoara,002 B Severely Wet,1984-07-01,0,lug
Banikoara,001 A Extremely Wet,1984-07-01,0,lug
Banikoara,007 G Extremey Dry,1984-08-01,100,ago
Banikoara,006 F Severely Dry,1984-08-01,0,ago
Banikoara,005 E Moderately Dry,1984-08-01,0,ago
Banikoara,004 D Normal,1984-08-01,0,ago
Banikoara,003 C Moderately Wet,1984-08-01,0,ago
Banikoara,002 B Severely Wet,1984-08-01,0,ago
Banikoara,001 A Extremely Wet,1984-08-01,0,ago
Banikoara,007 G Extremey Dry,1984-09-01,8.9041095890411,set
Banikoara,006 F Severely Dry,1984-09-01,27.3972602739726,set
Banikoara,005 E Moderately Dry,1984-09-01,53.4246575342466,set
Banikoara,004 D Normal,1984-09-01,10.2739726027397,set
Banikoara,003 C Moderately Wet,1984-09-01,0,set
Banikoara,002 B Severely Wet,1984-09-01,0,set
Banikoara,001 A Extremely Wet,1984-09-01,0,set
Banikoara,007 G Extremey Dry,1984-10-01,0,ott
Banikoara,006 F Severely Dry,1984-10-01,4.10958904109589,ott
Banikoara,005 E Moderately Dry,1984-10-01,28.7671232876712,ott
Banikoara,004 D Normal,1984-10-01,67.1232876712329,ott
Banikoara,003 C Moderately Wet,1984-10-01,0,ott
Banikoara,002 B Severely Wet,1984-10-01,0,ott
Banikoara,001 A Extremely Wet,1984-10-01,0,ott
Banikoara,007 G Extremey Dry,1984-11-01,0,nov
Banikoara,006 F Severely Dry,1984-11-01,0,nov
Banikoara,005 E Moderately Dry,1984-11-01,0,nov
Banikoara,004 D Normal,1984-11-01,43.1506849315069,nov
Banikoara,003 C Moderately Wet,1984-11-01,50.6849315068493,nov
Banikoara,002 B Severely Wet,1984-11-01,6.16438356164384,nov
Banikoara,001 A Extremely Wet,1984-11-01,0,nov
Banikoara,007 G Extremey Dry,1984-12-01,0,dic
Banikoara,006 F Severely Dry,1984-12-01,0,dic
Banikoara,005 E Moderately Dry,1984-12-01,0,dic
Banikoara,004 D Normal,1984-12-01,100,dic
Banikoara,003 C Moderately Wet,1984-12-01,0,dic
Banikoara,002 B Severely Wet,1984-12-01,0,dic
Banikoara,001 A Extremely Wet,1984-12-01,0,dic
